center,left,right,steering,throttle,brake,speed
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_198.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_198.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_198.jpg,0,0,0,4.53674
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_254.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_254.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_254.jpg,0,0,0,4.500273
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_407.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_407.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_407.jpg,0,0,0,4.43716
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_559.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_559.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_559.jpg,0,0,0,4.366113
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_627.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_627.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_627.jpg,0,0,0,4.339764
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_715.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_715.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_715.jpg,0,0,0,4.296207
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_786.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_786.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_786.jpg,0,0,0,4.27028
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_886.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_886.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_886.jpg,0,0,0,4.227452
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_42_975.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_42_975.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_42_975.jpg,0,0,0,4.185191
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_069.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_069.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_069.jpg,0,0,0,4.151546
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_159.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_159.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_159.jpg,0,0,0,4.109873
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_253.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_253.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_253.jpg,0,0,0,4.068619
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_348.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_348.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_348.jpg,0,0,0,4.035914
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_440.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_440.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_440.jpg,0,0,0,3.995401
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_530.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_530.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_530.jpg,0,0,0,3.963284
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_628.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_628.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_628.jpg,0,0,0,3.923501
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_696.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_696.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_696.jpg,0,0,0,3.891962
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_783.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_783.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_783.jpg,0,0,0,3.860677
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_857.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_857.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_857.jpg,0,0,0,3.829643
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_43_947.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_43_947.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_43_947.jpg,0,0,0,3.798857
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_042.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_042.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_042.jpg,0,0,0,3.760724
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_111.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_111.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_111.jpg,0,0,0,3.738027
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_208.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_208.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_208.jpg,0,0,0,3.700504
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_306.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_306.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_306.jpg,0,0,0,3.663362
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_397.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_397.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_397.jpg,0,0,0,3.62659
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_493.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_493.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_493.jpg,0,0,0,3.590185
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_588.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_588.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_588.jpg,0,0,0,3.561325
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_677.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_677.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_677.jpg,0,0,0,3.525574
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_769.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_769.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_769.jpg,0,0,0,3.497234
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_865.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_865.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_865.jpg,0,0,0,3.462128
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_44_958.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_44_958.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_44_958.jpg,0,0,0,3.427375
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_045.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_045.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_045.jpg,0,0,0,3.399823
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_140.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_140.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_140.jpg,0,0,0,3.365695
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_229.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_229.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_229.jpg,0,0,0,3.338639
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_317.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_317.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_317.jpg,0,0,0,3.305125
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_411.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_411.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_411.jpg,0,0,0,3.278557
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_503.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_503.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_503.jpg,0,0,0,3.245646
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_591.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_591.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_591.jpg,0,0,0,3.219555
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_679.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_679.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_679.jpg,0,0,0,3.187459
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_770.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_770.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_770.jpg,0,0,0,3.162057
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_858.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_858.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_858.jpg,0,0,0,3.130589
